* * * * * * * * *
Parameters => Max Epochs: 100, Learning Rate: 1.000000
Type of network used: SimpleNetwork
Input Nodes: 36, Hidden Nodes: 0, Output Nodes: 2
* * * * * * * * *
51 Error: 0.35911111 0.384 0.354
52 Error: 0.35911111 0.384 0.354
53 Error: 0.35911111 0.384 0.354
54 Error: 0.35911111 0.384 0.354
55 Error: 0.35911111 0.384 0.354
56 Error: 0.35911111 0.384 0.354
57 Error: 0.35911111 0.384 0.354
58 Error: 0.35911111 0.384 0.354
59 Error: 0.35911111 0.384 0.354
60 Error: 0.35911111 0.384 0.354
61 Error: 0.35911111 0.384 0.354
62 Error: 0.35911111 0.384 0.354
63 Error: 0.35911111 0.384 0.354
64 Error: 0.35911111 0.384 0.354
65 Error: 0.35911111 0.384 0.354
66 Error: 0.35911111 0.384 0.354
67 Error: 0.35911111 0.384 0.354
68 Error: 0.35911111 0.384 0.354
69 Error: 0.35911111 0.384 0.354
70 Error: 0.35911111 0.384 0.354
71 Error: 0.35911111 0.384 0.354
72 Error: 0.35911111 0.384 0.354
73 Error: 0.35911111 0.384 0.354
74 Error: 0.35911111 0.384 0.354
75 Error: 0.35911111 0.384 0.354
76 Error: 0.35911111 0.384 0.354
77 Error: 0.35911111 0.384 0.354
78 Error: 0.35911111 0.384 0.354
79 Error: 0.35911111 0.384 0.354
80 Error: 0.35911111 0.384 0.354
81 Error: 0.35911111 0.384 0.354
82 Error: 0.35911111 0.384 0.354
83 Error: 0.35911111 0.384 0.354
84 Error: 0.35911111 0.384 0.354
85 Error: 0.35911111 0.384 0.354
86 Error: 0.35911111 0.384 0.354
87 Error: 0.35911111 0.384 0.354
88 Error: 0.35911111 0.384 0.354
89 Error: 0.35911111 0.384 0.354
90 Error: 0.35911111 0.384 0.354
91 Error: 0.35911111 0.384 0.354
92 Error: 0.35911111 0.384 0.354
93 Error: 0.35911111 0.384 0.354
94 Error: 0.35911111 0.384 0.354
95 Error: 0.35911111 0.384 0.354
96 Error: 0.35911111 0.384 0.354
97 Error: 0.35911111 0.384 0.354
98 Error: 0.35911111 0.384 0.354
99 Error: 0.35911111 0.384 0.354
100 Error: 0.35911111 0.384 0.354
* * * * * * * * *
Parameters => Max Epochs: 100, Learning Rate: 0.010000
Type of network used: SimpleNetwork
Input Nodes: 36, Hidden Nodes: 0, Output Nodes: 2
* * * * * * * * *
1 Error: 0.51444444 0.455 0.505
2 Error: 0.51444444 0.455 0.505
3 Error: 0.51422222 0.455 0.505
4 Error: 0.50344444 0.448 0.500
5 Error: 0.48533333 0.441 0.470
6 Error: 0.46811111 0.426 0.445
7 Error: 0.44944444 0.412 0.431
8 Error: 0.43222222 0.401 0.414
9 Error: 0.42066667 0.391 0.409
10 Error: 0.40988889 0.381 0.405
11 Error: 0.40388889 0.378 0.404
12 Error: 0.39700000 0.372 0.404
13 Error: 0.39233333 0.363 0.398
14 Error: 0.38788889 0.356 0.395
15 Error: 0.38333333 0.357 0.389
16 Error: 0.38033333 0.353 0.380
17 Error: 0.37888889 0.356 0.379
18 Error: 0.37600000 0.352 0.379
19 Error: 0.37377778 0.351 0.380
20 Error: 0.37266667 0.350 0.382
21 Error: 0.37188889 0.351 0.381
22 Error: 0.36866667 0.346 0.381
23 Error: 0.36777778 0.349 0.381
24 Error: 0.36733333 0.347 0.379
25 Error: 0.36722222 0.343 0.379
26 Error: 0.36700000 0.344 0.380
27 Error: 0.36633333 0.343 0.380
28 Error: 0.36611111 0.341 0.380
29 Error: 0.36477778 0.340 0.379
30 Error: 0.36377778 0.341 0.379
31 Error: 0.36300000 0.340 0.379
32 Error: 0.36133333 0.338 0.378
33 Error: 0.36111111 0.335 0.377
34 Error: 0.36055556 0.335 0.378
